accuracy,dataset,experiment,macro_f1,model,run,source,weighted_f1
0.4656666666666667,CIFAR,cnn_CIFAR,nan,cnn,9,cnn_CIFAR_acc_results.pkl,nan
0.9943333333333333,FashionMNIST0.3,cnn_fashionmnist0.3,nan,cnn,0,cnn_fashionmnist0.3_acc_results.pkl,nan
0.995,FashionMNIST0.3,cnn_fashionmnist0.3,nan,cnn,1,cnn_fashionmnist0.3_acc_results.pkl,nan
0.993,FashionMNIST0.3,cnn_fashionmnist0.3,nan,cnn,2,cnn_fashionmnist0.3_acc_results.pkl,nan
0.9916666666666667,FashionMNIST0.3,cnn_fashionmnist0.3,nan,cnn,3,cnn_fashionmnist0.3_acc_results.pkl,nan
0.994,FashionMNIST0.3,cnn_fashionmnist0.3,nan,cnn,4,cnn_fashionmnist0.3_acc_results.pkl,nan
0.993,FashionMNIST0.3,cnn_fashionmnist0.3,nan,cnn,5,cnn_fashionmnist0.3_acc_results.pkl,nan
0.9943333333333333,FashionMNIST0.3,cnn_fashionmnist0.3,nan,cnn,6,cnn_fashionmnist0.3_acc_results.pkl,nan
0.993,FashionMNIST0.3,cnn_fashionmnist0.3,nan,cnn,7,cnn_fashionmnist0.3_acc_results.pkl,nan
0.995,FashionMNIST0.3,cnn_fashionmnist0.3,nan,cnn,8,cnn_fashionmnist0.3_acc_results.pkl,nan
0.997,FashionMNIST0.3,cnn_fashionmnist0.3,nan,cnn,9,cnn_fashionmnist0.3_acc_results.pkl,nan
0.939,FashionMNIST0.6,cnn_fashionmnist0.6,nan,cnn,0,cnn_fashionmnist0.6_acc_results.pkl,nan
0.9293333333333333,FashionMNIST0.6,cnn_fashionmnist0.6,nan,cnn,1,cnn_fashionmnist0.6_acc_results.pkl,nan
0.9223333333333333,FashionMNIST0.6,cnn_fashionmnist0.6,nan,cnn,2,cnn_fashionmnist0.6_acc_results.pkl,nan
0.8006666666666666,FashionMNIST0.6,cnn_fashionmnist0.6,nan,cnn,3,cnn_fashionmnist0.6_acc_results.pkl,nan
0.8053333333333333,FashionMNIST0.6,cnn_fashionmnist0.6,nan,cnn,4,cnn_fashionmnist0.6_acc_results.pkl,nan
0.863,FashionMNIST0.6,cnn_fashionmnist0.6,nan,cnn,5,cnn_fashionmnist0.6_acc_results.pkl,nan
0.86,FashionMNIST0.6,cnn_fashionmnist0.6,nan,cnn,6,cnn_fashionmnist0.6_acc_results.pkl,nan
0.8523333333333334,FashionMNIST0.6,cnn_fashionmnist0.6,nan,cnn,7,cnn_fashionmnist0.6_acc_results.pkl,nan
0.8033333333333333,FashionMNIST0.6,cnn_fashionmnist0.6,nan,cnn,8,cnn_fashionmnist0.6_acc_results.pkl,nan
0.8793333333333333,FashionMNIST0.6,cnn_fashionmnist0.6,nan,cnn,9,cnn_fashionmnist0.6_acc_results.pkl,nan
0.3943333333333333,CIFAR,cnnwithnal_CIFAR,0.39437659869848657,cnnwithnal,0,cnnwithnal_CIFAR_pred_results.pkl,0.3943765986984865
0.363,CIFAR,cnnwithnal_CIFAR,0.3558187696034277,cnnwithnal,1,cnnwithnal_CIFAR_pred_results.pkl,0.35581876960342773
0.41433333333333333,CIFAR,cnnwithnal_CIFAR,0.39625682957066655,cnnwithnal,2,cnnwithnal_CIFAR_pred_results.pkl,0.3962568295706666
0.386,CIFAR,cnnwithnal_CIFAR,0.3755225460948133,cnnwithnal,3,cnnwithnal_CIFAR_pred_results.pkl,0.3755225460948132
0.4106666666666667,CIFAR,cnnwithnal_CIFAR,0.4057822738453929,cnnwithnal,4,cnnwithnal_CIFAR_pred_results.pkl,0.40578227384539295
0.43633333333333335,CIFAR,cnnwithnal_CIFAR,0.4317392068841597,cnnwithnal,5,cnnwithnal_CIFAR_pred_results.pkl,0.43173920688415973
0.3923333333333333,CIFAR,cnnwithnal_CIFAR,0.3736938578171934,cnnwithnal,6,cnnwithnal_CIFAR_pred_results.pkl,0.3736938578171934
0.39,CIFAR,cnnwithnal_CIFAR,0.3891987897981514,cnnwithnal,7,cnnwithnal_CIFAR_pred_results.pkl,0.38919878979815137
0.373,CIFAR,cnnwithnal_CIFAR,0.37279832562693294,cnnwithnal,8,cnnwithnal_CIFAR_pred_results.pkl,0.37279832562693294
0.5113333333333333,CIFAR,cnnwithnal_CIFAR,0.509947832682968,cnnwithnal,9,cnnwithnal_CIFAR_pred_results.pkl,0.509947832682968
0.6583333333333333,FashionMNIST0.3,cnnwithnal_fashionmnist0.3,0.6550864718744358,cnnwithnal,0,cnnwithnal_fashionmnist0.3_pred_results.pkl,0.6550864718744359
0.6866666666666666,FashionMNIST0.3,cnnwithnal_fashionmnist0.3,0.6859864297810775,cnnwithnal,1,cnnwithnal_fashionmnist0.3_pred_results.pkl,0.6859864297810776
0.7023333333333334,FashionMNIST0.3,cnnwithnal_fashionmnist0.3,0.7020129742350808,cnnwithnal,2,cnnwithnal_fashionmnist0.3_pred_results.pkl,0.7020129742350807
0.6613333333333333,FashionMNIST0.3,cnnwithnal_fashionmnist0.3,0.6611170991355886,cnnwithnal,3,cnnwithnal_fashionmnist0.3_pred_results.pkl,0.6611170991355886
