best_run_acc,best_run_idx,ci95_high,ci95_low,dataset,experiment,max_acc,mean_acc,mean_macro_f1,mean_weighted_f1,median_acc,min_acc,model,runs,source,std_acc,std_macro_f1,std_weighted_f1
0.5113333333333333,9,0.43193371520852936,0.3823329514581371,CIFAR,cnnwithnal_CIFAR,0.5113333333333333,0.40713333333333324,0.4005135030622193,0.4005135030622193,0.3933333333333333,0.363,cnnwithnal,10,cnnwithnal_CIFAR_pred_results.pkl,0.0400131089630497,0.04155968260869278,0.04155968260869278
0.8306666666666667,6,0.7417233659033544,0.6624766340966455,FashionMNIST0.3,cnnwithnal_fashionmnist0.3,0.8306666666666667,0.7021,0.6993011872248754,0.6993011872248754,0.6883333333333332,0.626,cnnwithnal,10,cnnwithnal_fashionmnist0.3_pred_results.pkl,0.06392861470247715,0.06664847980067225,0.06664847980067225
0.927,2,0.8052597235139601,0.5837402764860399,FashionMNIST0.6,cnnwithnal_fashionmnist0.6,0.927,0.6945,0.6486571064999617,0.6486571064999617,0.7326666666666666,0.379,cnnwithnal,10,cnnwithnal_fashionmnist0.6_pred_results.pkl,0.17870050985439917,0.22645058965047668,0.2264505896504767
0.4656666666666667,9,0.4289847200448823,0.3985486132884509,CIFAR,cnn_CIFAR,0.4656666666666667,0.4137666666666666,0.40873963118729717,0.4087396311872973,0.41300000000000003,0.3863333333333333,cnn,10,cnn_CIFAR_pred_results.pkl,0.024552913382235433,0.0252032007552506,0.025203200755250586
0.997,9,0.994902291227723,0.9931643754389436,FashionMNIST0.3,cnn_fashionmnist0.3,0.997,0.9940333333333333,0.994033330591676,0.9940333305916758,0.9941666666666666,0.9916666666666667,cnn,10,cnn_fashionmnist0.3_pred_results.pkl,0.0014019827229875327,0.001401730122380931,0.0014017301223808887
0.939,0,0.8963304541896955,0.834602879143638,FashionMNIST0.6,cnn_fashionmnist0.6,0.939,0.8654666666666667,0.8635161834043481,0.8635161834043481,0.8614999999999999,0.8006666666666666,cnn,10,cnn_fashionmnist0.6_pred_results.pkl,0.0497958498940089,0.05053913232298758,0.050539132322987596
